File,UR,Test Time
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3890_018436 _15Feb2023070329.mat,0.8925503328899899,2023-02-15 07:03:29
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3921_018974_30Mar2023133046.mat,0.5860198278038926,2023-03-30 13:30:46
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3969_019641_16May2023121642.mat,0.8620892154216119,2023-05-16 12:16:42
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3969_019653_16May2023133724.mat,0.8246654313924757,2023-05-16 13:37:24
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3969_019654_16May2023134354.mat,0.875933925081292,2023-05-16 13:43:54
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3970_019721_02Jun2023112029.mat,0.7153656272323105,2023-06-02 11:20:29
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3971_019755_23May2023071852.mat,0.8324137209543088,2023-05-23 07:18:52
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3971_019783_23May2023105039.mat,0.751689063991461,2023-05-23 10:50:39
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3971_019804_23May2023124846.mat,0.8254504592007261,2023-05-23 12:48:46
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3971_019828_24May2023063741.mat,0.5812652521722412,2023-05-24 06:37:41
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3980_019994_08Jun2023061341.mat,0.8711518893378765,2023-06-08 06:13:41
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3980_020006_08Jun2023071649.mat,0.7149755191792266,2023-06-08 07:16:49
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3980_020071_08Jun2023130910.mat,0.7839348061907188,2023-06-08 13:09:10
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3999_020243_28Jun2023071510.mat,0.5117758369160482,2023-06-28 07:15:10
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4010_020469_07Jul2023082327.mat,0.7304653557792817,2023-07-07 08:23:27
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4012_020647_12Jul2023094656.mat,0.535769435696328,2023-07-12 09:46:56
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4012_020651_12Jul2023103556.mat,0.8679639532462655,2023-07-12 10:35:56
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4013_020514_13Jul2023070345.mat,0.6810335987520238,2023-07-13 07:03:45
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4013_020519_13Jul2023080124.mat,0.7062266358804301,2023-07-13 08:01:24
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4013_020523_13Jul2023082253.mat,0.30667566506997035,2023-07-13 08:22:53
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4013_020525_13Jul2023083431.mat,0.5122286109137602,2023-07-13 08:34:31
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4013_020529_13Jul2023085302.mat,0.7643346365297714,2023-07-13 08:53:02
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4013_020536_13Jul2023092843.mat,0.6976754086841797,2023-07-13 09:28:43
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4013_020575_14Jul2023100113.mat,0.6606924357451878,2023-07-14 10:01:13
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4013_020581_14Jul2023105936.mat,0.5973954020766505,2023-07-14 10:59:36
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4013_020600_14Jul2023124205.mat,0.7369258995900881,2023-07-14 12:42:05
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4021_020696_24Jul2023062208.mat,0.6622673073175841,2023-07-24 06:22:08
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4021_020728_24Jul2023085926.mat,0.6687530255787315,2023-07-24 08:59:26
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4036_020830_25Jul2023110758.mat,0.8918196996810028,2023-07-25 11:07:58
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4036_020836_25Jul2023112841.mat,0.637860817573333,2023-07-25 11:28:41
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4036_020838_25Jul2023113710.mat,0.6721457058527002,2023-07-25 11:37:10
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4041_021052_11Aug2023080904.mat,0.6645994675578925,2023-08-11 08:09:04
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4049_021297_17Aug2023101441.mat,0.7357994915171368,2023-08-17 10:14:41
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4054_021390_24Aug2023070518.mat,0.5387859639130747,2023-08-24 07:05:18
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4057_021474_28Aug2023055523.mat,0.33745965878081857,2023-08-28 05:55:23
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4058_021503_29Aug2023120813.mat,0.6316882158299172,2023-08-29 12:08:13
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4058_021505_29Aug2023121636.mat,0.5248843703710973,2023-08-29 12:16:36
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4061_021616_07Sep2023095102.mat,0.8362286220448686,2023-09-07 09:51:02
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4061_021630_07Sep2023125933.mat,0.627139156927125,2023-09-07 12:59:33
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4061_021672_08Sep2023134848.mat,0.9012144229651889,2023-09-08 13:48:48
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4078_021956_28Sep2023072622.mat,0.6756951475633836,2023-09-28 07:26:22
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4078_021992_28Sep2023131609.mat,0.5983509535096607,2023-09-28 13:16:09
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4084_022156_02Oct2023124336.mat,0.7009096614578949,2023-10-02 12:43:36
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4085_022188_07Oct2023111900.mat,0.6672865404618737,2023-10-07 11:19:00
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4090_022280_16Oct2023134524.mat,0.8304259582212405,2023-10-16 13:45:24
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4090_022293_16Oct2023145314.mat,0.9228730348840921,2023-10-16 14:53:14
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4100_022457_26Oct2023095232.mat,0.7426980799546986,2023-10-26 09:52:32
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM4100_022458_26Oct2023095628.mat,0.720331429431553,2023-10-26 09:56:28
